Key,Year,Url,Publication Title,Title,Abstract（英文）,Keywords,标题,Abstract（中文）,关键词,可用数据集,源代码,备注（如改进方向等）
C8VSYBES,2023,https://doi.org/10.1109/ASE56229.2023.00213,ASE 2023,CPA-DF: A Tool for Configurable Interval Analysis to Boost Program Verification,"Software verification is challenging, and auxiliary program invariants are used to improve the effectiveness of verification approaches. For instance, the k-induction implementation in CPACHECKER, an award-winning framework for program analysis, uses invariants produced by a configurable data-flow analysis to strengthen induction hypotheses. This invariant generator, CPA-DF, uses arithmetic expressions over intervals as its abstract domain and is able to prove some safe verification tasks alone. After extensively evaluating CPA-DF on SV-Benchmarks, the largest publicly available suite of C safety-verification tasks, we discover that its potential as a stand-alone analysis or a sub-analysis in a parallel portfolio for combined verification approaches has been significantly underestimated: (1) As a stand-alone analysis, CPA-DF finds almost as many proofs as the plain k-induction implementation without auxiliary invariants. (2) As a sub-analysis running in parallel to the plain k-induction implementation, CPA-DF boosts the portfolio verifier to solve a comparable amount of tasks as the heavily-optimized k-induction implementation with invariant injection. Our detailed analysis reveals that dynamic precision adjustment is crucial to the efficiency and effectiveness of CPA-DF. To generalize our results beyond CPACHECKER, we use CoVeriteam,a platform for cooperative verification, to compose three portfolio verifiers that execute CPA-DF and three other software verifiers in parallel, respectively. Surprisingly, running CPA-DF merely in parallel to these state-of-the-art tools further boosts the number of correct results up to more than 20 %. Demonstration video: https://youtu.be/l7UG-vhTL_4","Program Analysis,Data Flow Analysis,Software Model Checking,Interval Analysis,Dynamic Precision Adjustment,Invariant Generation",CPA-DF：一种可配置区间分析工具，用于增强程序验证,软件验证具有挑战性，使用辅助程序不变量来提高验证方法的有效性。例如，CPACHECKER中的k归纳实现是一个屡获殊荣的程序分析框架，它使用可配置数据流分析产生的不变量来加强归纳假设。这种不变生成器CPA-DF使用区间上的算术表达式作为其抽象域，并且能够单独证明一些安全的验证任务。在SV Benchmarks（最大的公开C安全验证任务套件）上对CPA-DF进行了广泛评估后，我们发现其作为独立分析或联合验证方法并行组合中的子分析的潜力被严重低估：（1）作为独立分析，CPA-DF发现的证明几乎与没有辅助不变量的普通k归纳实现一样多。（2） 作为与普通k归纳实现并行运行的子分析，CPA-DF增强了投资组合验证器，以解决与具有不变注入的高度优化的k归纳实现相当数量的任务。我们的详细分析表明，动态精度调整对CPA-DF的效率和有效性至关重要。为了将我们的结果推广到CPACHECKER之外，我们使用合作验证平台CoVeriteam来组成三个组合验证器，分别并行执行CPA-DF和其他三个软件验证器。令人惊讶的是，仅与这些最先进的工具并行运行CPA-DF，就可以将正确结果的数量进一步提高到20%以上。演示视频：https://youtu.be/l7UG-vhTL_4,程序分析，数据流分析，软件模型检查，区间分析，动态精度调整，不变量生成,,,
8PBLFHI9,2023,https://doi.org/10.1109/ASE56229.2023.00146,ASE 2023,Provengo: A Tool Suite for Scenario Driven Model-Based Testing,"We present Provengo, a comprehensive suite of tools designed to facilitate the implementation of Scenario-Driven Model-Based Testing (SDMBT), an innovative approach that utilizes scenarios to construct a model encompassing the user's perspective and the system's business value while also defining the desired outcomes. With the assistance of Provengo, testers gain the ability to effortlessly create natural user stories and seamlessly integrate them into a model capable of generating effective tests. The demonstration illustrates how SDMBT effectively addresses the bootstrapping challenge commonly encountered in model-based testing (MBT) by enabling incremental development, starting from simple models and gradually augmenting them with additional stories.","Testing,Software engineering,Business",Provengo：一个用于场景驱动的基于模型的测试的工具套件,我们介绍了Provengo，这是一套全面的工具，旨在促进场景驱动的基于模型的测试（SDMBT）的实施，这是是一种创新的方法，利用场景构建一个包含用户视角和系统业务价值的模型，同时定义所需的结果。在Provengo的帮助下，测试人员能够毫不费力地创建自然的用户故事，并将其无缝集成到能够生成有效测试的模型中。该演示展示了SDMBT如何通过实现增量开发，从简单的模型开始，并通过额外的故事逐渐增强，有效地解决基于模型的测试（MBT）中常见的自举挑战。,测试，软件工程，商业,,,
YXIZFW3F,2023,https://doi.org/10.1109/ASE56229.2023.00065,ASE 2023,"Better Patching Using LLM Prompting, via Self-Consistency","Large Language models (LLMs) can be induced to solve non-trivial problems with “few-shot” prompts including illustrative problem-solution examples. Now if the few-shots also include “chain of thought” ($\mathcal{C}oT$) explanations, which are of the form problem-explanation-solution, LLMs will generate a “explained” solution, and perform even better. Recently an exciting, substantially better technique, self-consistency [1] ($\mathcal{S}-C$) has emerged, based on the intuition that there are many plausible explanations for the right solution; when the LLM is sampled repeatedly to generate a pool of explanation-solution pairs, for a given problem, the most frequently occurring solutions in the pool (ignoring the explanations) tend to be even more likely to be correct! Unfortunately, the use of this highly-performant $\mathcal{S}-C$ (or even $\mathcal{C}oT$) approach in software engineering settings is hampered by the lack of explanations; most software datasets lack explanations. In this paper, we describe an application of the $\mathcal{S}-C$ approach to program repair, using the commit log on the fix as the explanation, only in the illustrative few-shots. We achieve state-of-the art results, beating previous approaches to prompting-based program repair, on the MODIT dataset; we also find evidence suggesting that the correct commit messages are helping the LLM learn to produce better patches.","LLMs,Self-consistency,Program Repair",通过自一致性使用LLM提示进行更好的修补,大型语言模型（LLM）可以通过“少量”提示（包括说明性问题解决方案示例）来解决非琐碎的问题。现在，如果少数镜头也包括“思想链”（$\mathcal{C}oT$）解释，这是问题解释解决方案的形式，LLM将生成一个“已解释”的解决方案，并执行得更好。最近，一种令人兴奋的、实质上更好的技术，自洽[1]（$\mathcal{S}-C$）已经出现，基于对正确解决方案有许多看似合理的解释的直觉；当LLM被重复采样以生成一个解释-解决方案对池时，对于给定的问题，池中最频繁出现的解决方案（忽略解释）更有可能是正确的！不幸的是，使用这种高性能的$\mathcal{S}-C$（甚至$\mathcal{C}oT$）方法在软件工程环境中由于缺乏解释而受到阻碍；大多数软件数据集缺乏解释。在本文中，我们描述了$\mathcal{S}-C$方法进行程序修复，使用修复上的提交日志作为解释，仅在示例性的几个镜头中。我们在MODIT数据集上实现了最先进的结果，击败了以前基于提示的程序修复方法；我们还发现有证据表明，正确的提交消息有助于LLM学习生成更好的补丁。,LLM，自一致性，程序修复,,,
G9XMACX6,2023,https://doi.org/10.1109/ASE56229.2023.00216,ASE 2023,Optimizing Continuous Development by Detecting and Preventing Unnecessary Content Generation,"Continuous development (CD) helps developers quickly release and update their software. To enact CD, developers customize their CD builds to perform several tasks, including compiling, testing, static analysis checks, etc. However, as developers add more tasks to their builds, the builds take longer to run, therefore slowing down the entire CD process. Furthermore, developers may unknowingly include tasks into their builds whose results are not used (e.g., generating coverage files that are never read or uploaded anywhere), therefore wasting build runtime doing unnecessary tasks. We propose OptCD, a technique to dynamically detect unnecessary work within CD builds. Our intuition is that unnecessary work can be identified by the generation of files that are not used by any other task within the build. OptCD runs alongside a CD build, tracking the generated files during the build and which files are read/written. Files that are written to but are never read from are unnecessary content from a build. Based on the names of the unnecessary files, OptCD then maps the files to the specific build tasks responsible for generating or writing to those files. Finally, OptCD leverages ChatGPT to suggest changing the build configuration to disable generating these unnecessary files. Our evaluation of OptCD on 22 open-source projects finds that 95.6% of projects generate at least one unused directory, a directory whose contents are all unnecessarily generated. OptCD identifies the correct task that generates 92.0% of the unused directories. Further, OptCD can produce a patch for the CD configuration file to prevent generating 72.0% of the unused directories. Using the patches, we reduce the runtime by 7.0% on average for the projects we studied. We submitted 26 pull requests for the unused directories that we could disable. Developers have accepted 12 of them, with five rejected, and nine still pending.","Runtime,Static analysis,Writing,Chatbots,Software,Task analysis,Testing",通过检测和防止不必要的内容生成优化持续开发,持续开发（CD）帮助开发人员快速发布和更新软件。为了制定CD，开发人员自定义他们的CD构建以执行多项任务，包括编译、测试、静态分析检查等。然而，随着开发人员向构建中添加更多任务，构建运行所需的时间更长，因此会减慢整个CD过程。此外，开发人员可能会在不知情的情况下将结果未被使用的任务包括在构建中（例如，生成从未在任何地方读取或上传的覆盖文件），从而浪费构建运行时执行不必要的任务。我们提出了OptCD，这是一种在CD构建中动态检测不必要工作的技术。我们的直觉是，不必要的工作可以通过生成构建中任何其他任务都不使用的文件来识别。OptCD与CD构建一起运行，跟踪构建过程中生成的文件以及读取/写入的文件。写入但从未读取的文件是生成中不必要的内容。根据不必要文件的名称，OptCD将文件映射到负责生成或写入这些文件的特定构建任务。最后，OptCD利用ChatGPT建议更改构建配置，以禁止生成这些不必要的文件。我们对22个开源项目的OptCD评估发现，95.6%的项目至少生成了一个未使用的目录，该目录的内容都是不必要的生成。OptCD确定生成92.0%未使用目录的正确任务。此外，OptCD可以为CD配置文件生成一个补丁，以防止生成72.0%的未使用目录。使用这些补丁，我们研究的项目的运行时间平均减少了7.0%。我们提交了26个可以禁用的未使用目录的拉取请求。开发商已经接受了其中12家，其中5家被拒绝，9家仍在等待中。,聊天机器人，静态分析，写作，软件，任务分析，测试,,,
EUT579M7,2023,https://doi.org/10.1109/ASE56229.2023.00092,ASE 2023,Modeling Programmer Attention as Scanpath Prediction,"This paper launches a new effort at modeling programmer attention by predicting eye movement scanpaths. Programmer attention refers to what information people intake when performing programming tasks. Models of programmer attention refer to machine prediction of what information is important to people. Models of programmer attention are important because they help researchers build better interfaces, assistive technologies, and more human-like AI. For many years, researchers in SE have built these models based on features such as mouse clicks, key logging, and IDE interactions. Yet the holy grail in this area is scanpath prediction - the prediction of the sequence of eye fixations a person would take over a visual stimulus. A person's eye movements are considered the most concrete evidence that a person is taking in a piece of information. Scanpath prediction is a notoriously difficult problem, but we believe that the emergence of lower-cost, higheraccuracy eye tracking equipment and better large language models of source code brings a solution within grasp. We present an eye tracking experiment with 27 programmers and a prototype scanpath predictor to present preliminary results and obtain early community feedback.","scanpath prediction,human attention,eye tracking,neural networks,artificial intelligence",将程序员注意力建模为扫描路径预测,本文通过预测眼动扫描路径，对程序员的注意力进行了建模。程序员注意力是指人们在执行编程任务时所获取的信息。程序员注意力模型指的是机器对什么信息对人们来说很重要的预测。程序员注意力的模型很重要，因为它们可以帮助研究人员构建更好的界面、辅助技术和更人性化的人工智能。多年来，SE的研究人员一直基于鼠标点击、按键记录和IDE交互等功能构建这些模型。然而，这一领域的圣杯是扫描路径预测——预测一个人在视觉刺激下的眼睛注视顺序。一个人的眼球运动被认为是一个人接受信息的最具体证据。扫描路径预测是一个众所周知的难题，但我们相信，低成本、高精度的眼动追踪设备和更好的源代码大型语言模型的出现，将使解决方案触手可及。我们对27名程序员和一个原型扫描路径预测器进行了眼动追踪实验，以呈现初步结果并获得早期社区反馈。,扫描路径预测，人类注意力，眼睛跟踪，神经网络，人工智能,,,
NHRUFGX4,2023,https://doi.org/10.1109/ASE56229.2023.00116,ASE 2023,Minecraft: Automated Mining of Software Bug Fixes with Precise Code Context,"Repository mining of bug fixes from version control systems like GitHub is a challenging problem as far as the precision of the bug context is concerned, i.e., source codes immediately preceding and succeeding the fix location. Coupled with this, identification of the type of the bug fix goes a long way towards creating high quality datasets that can be used for several downstream tasks. However, existing bug fix datasets suffer from the following limitations that dilute the data quality. Firstly, they do not focus on multilingual projects in their entirety given that most open-source projects are now multilingual. Secondly, the granularity of the bug fixes are considered only at the function/method level without specifying line/statement level information. Thirdly, bug fixes lying within the scope of a source file but outside any of its constituent functions have not been examined. In this paper, we propose a solution to overcome the aforementioned limitations by introducing a novel and extensive dataset named Minecraft. With a size of 28.8GB (considering 416 GitHub projects encompassing programming languages such as C, C++, Java, and Python, 2.2M commits, 3.29M bug-fix pairs), Minecraft surpasses the existing datasets by 4-fold enlargement in terms of data availability. We believe Minecraft would serve as a valuable resource for various stakeholders in the software development and research communities, empowering them to improve software quality, develop innovative bug detection and auto-fix techniques, and advance the field of software engineering.","Training,Codes,Source coding,Computer bugs,Software quality,Data mining,Stakeholders",Minecraft：使用精确的代码上下文自动挖掘软件错误修复,从GitHub等版本控制系统中挖掘漏洞修复是一个具有挑战性的问题，就漏洞上下文的精度而言，即在修复位置之前和之后的源代码。再加上这一点，识别bug修复的类型将大大有助于创建可用于几个下游任务的高质量数据集。然而，现有的bug修复数据集存在以下限制，这些限制会降低数据质量。首先，考虑到大多数开源项目现在都是多语言的，他们并没有完全关注多语言项目。其次，只在函数/方法级别考虑错误修复的粒度，而不指定行/语句级别的信息。第三，位于源文件范围内但不在其任何组成函数范围内的错误修复尚未经过检查。在本文中，我们提出了一种解决方案，通过引入一个名为Minecraft的新颖而广泛的数据集来克服上述限制。Minecraft的大小为28.8GB（考虑到416个GitHub项目，包括C、C++、Java和Python等编程语言，220万次提交，329万次错误修复对），在数据可用性方面，它比现有数据集扩大了4倍。我们相信，Minecraft将成为软件开发和研究社区中各种利益相关者的宝贵资源，使他们能够提高软件质量，开发创新的错误检测和自动修复技术，并推进软件工程领域。,培训，代码，源代码，计算机错误，软件质量，数据挖掘，利益相关者,,,
Y3XS9VKB,2023,https://doi.org/10.1109/ASE56229.2023.00060,ASE 2023,SmartBugs 2.0: An Execution Framework for Weakness Detection in Ethereum Smart Contracts,"Smart contracts are blockchain programs that often handle valuable assets. Writing secure smart contracts is far from trivial, and any vulnerability may lead to significant financial losses. To support developers in identifying and eliminating vulnerabilities, methods and tools for the automated analysis of smart contracts have been proposed. However, the lack of commonly accepted benchmark suites and performance metrics makes it difficult to compare and evaluate such tools. Moreover, the tools are heterogeneous in their interfaces and reports as well as their runtime requirements, and installing several tools is time-consuming. In this paper, we present SmartBugs 2.0, a modular execution framework. It provides a uniform interface to 19 tools aimed at smart contract analysis and accepts both Solidity source code and EVM bytecode as input. After describing its architecture, we highlight the features of the framework. We evaluate the framework via its reception by the community and illustrate its scalability by describing its role in a study involving 3.25 million analyses.","Bytecode,EVM,Solidity,Security,Vulnerability",SmartBugs 2.0：以太坊智能合约弱点检测的执行框架,智能合约是区块链程序，通常处理有价值的资产。编写安全的智能合约绝非易事，任何漏洞都可能导致重大的财务损失。为了支持开发人员识别和消除漏洞，已经提出了智能合约自动化分析的方法和工具。然而，由于缺乏普遍接受的基准套件和性能指标，因此很难对此类工具进行比较和评估。此外，这些工具的接口和报告以及运行时要求都是异构的，安装几个工具非常耗时。在本文中，我们介绍了SmartBugs 2.0，一个模块化执行框架。它为19种智能合约分析工具提供了统一的接口，并接受Solidity源代码和EVM字节码作为输入。在描述了它的体系结构之后，我们重点介绍了该框架的特点。我们通过社区对该框架的接受程度来评估该框架，并通过描述其在一项涉及325万次分析的研究中的作用来说明其可扩展性。,字节码，EVM，稳固性，安全性，漏洞,,,
7RBWGQWZ,2023,https://doi.org/10.1109/ASE56229.2023.00208,ASE 2023,BUGSC++: A Highly Usable Real World Defect Benchmark for C/C++,"As software systems grow larger and more complex, debugging takes up an increasingly significant portion of developers' time and efforts during software maintenance. To aid software engineers in debugging, many automated debugging and repair techniques have been proposed. Both the development and evaluation of these automated techniques depend on benchmarks of bugs. While many different defect benchmarks have been developed, only a few benchmarks are widely used due to the origin of the collected bugs as well as the usability of the benchmarks themselves, risking a biased research landscape. This paper presents BUGSC++, a new benchmark that contains 209 real-world bugs collected from 22 open-source C/C++ projects. BugsC++ aims to provide high usability by providing a similar user interface to the widely used Defects4J. Further, BugsC++ ensures the replicability of the bugs in its collection by encapsulating each buggy program in a Docker container. By providing a highly usable real-world defect benchmark for C/C++, we hope to promote debugging research for C/C++.","software testing,bug,fault,defect benchmark",BUGSC++：一个高度可用的C/C现实世界缺陷基准++,随着软件系统变得越来越大、越来越复杂，调试在软件维护过程中占用了开发人员越来越大的时间和精力。为了帮助软件工程师进行调试，已经提出了许多自动调试和修复技术。这些自动化技术的开发和评估都依赖于bug的基准测试。虽然已经开发了许多不同的缺陷基准测试，但由于收集到的缺陷的来源以及基准测试本身的可用性，只有少数基准测试被广泛使用，这可能会导致研究领域存在偏见。本文介绍了BUGSC++，这是一个新的基准测试，包含了从22个开源C/C++项目中收集的209个真实世界的bug。BugsC++旨在通过提供与广泛使用的Defects4J类似的用户界面来提供高可用性。此外，BugsC++通过将每个Bug程序封装在Docker容器中，确保了其集合中Bug的可复制性。通过为C/C++提供一个高可用性的真实世界缺陷基准，我们希望促进C/C++的调试研究。,软件测试，bug，故障，缺陷基准,,,
MX3YP7PH,2023,https://doi.org/10.1109/ASE56229.2023.00095,ASE 2023,Systematically Detecting Packet Validation Vulnerabilities in Embedded Network Stacks,"Embedded Network Stacks (ENS) enable low-resource devices to communicate with the outside world, facilitating the development of Internet of Things and Cyber-Physical Systems. Some defects in ENS are thus high-severity cybersecurity vulnerabilities: they are remotely triggerable and can impact the physical world. While prior research has shed light on the characteristics of defects in many classes of software systems, no study has described the properties of ENS defects nor identified a systematic technique to expose them. The most common automated approach to detecting ENS defects is feedback-driven randomized dynamic analysis (“fuzzing”), a costly and unpredictable technique. This paper provides the first systematic characterization of cybersecurity vulnerabilities in ENS. We analyzed 61 vulnerabilities across 6 open-source ENS. Most of these ENS defects are concentrated in the transport and network layers of the network stack, require reaching different states in the network protocol, and can be triggered by only 1–2 modifications to a single packet. We therefore propose a novel systematic testing framework that focuses on the transport and network layers, uses seeds that cover a network protocol's states, and systematically modifies packet fields. We evaluate this framework on 4 ENS and replicated 12 of the 14 reported IP/TCP/UDP vulnerabilities. On recent versions of these ENSs, it discovered 7 novel defects (6 assigned CVES) during a bounded systematic test that covered all protocol states and made up to 3 modifications per packet. We found defects in 3 of the 4 ENS we tested that had not been found by prior fuzzing research. Our results suggest that fuzzing should be deferred until after systematic testing is employed.","Automated Testing,Validation,Cybersecurity,Embedded systems,IoT,Networking,Empirical Software Engineering,Fuzzing",系统检测嵌入式网络堆栈中的数据包验证漏洞,嵌入式网络堆栈（ENS）使低资源设备能够与外界通信，促进了物联网和网络物理系统的发展。因此，ENS中的一些缺陷是高度严重的网络安全漏洞：它们是可远程触发的，可以影响物理世界。虽然先前的研究已经阐明了许多类别软件系统中缺陷的特征，但没有研究描述ENS缺陷的特性，也没有确定暴露它们的系统技术。检测ENS缺陷最常见的自动化方法是反馈驱动的随机动态分析（“模糊化”），这是一种成本高昂且不可预测的技术。本文首次系统地描述了ENS中的网络安全漏洞。我们分析了6个开源ENS的61个漏洞。这些ENS缺陷大多集中在网络堆栈的传输层和网络层，需要达到网络协议中的不同状态，并且只需对单个数据包进行1-2次修改即可触发。因此，我们提出了一种新的系统测试框架，该框架侧重于传输层和网络层，使用覆盖网络协议状态的种子，并系统地修改数据包字段。我们在4个ENS上评估了该框架，并复制了14个报告的IP/TCP/UDP漏洞中的12个。在这些ENS的最新版本中，它在一次有界系统测试中发现了7个新缺陷（6个分配的CVES），该测试覆盖了所有协议状态，每个数据包最多有3个修改。我们在测试的4个ENS中发现了3个缺陷，这些缺陷是先前模糊研究没有发现的。我们的结果表明，模糊化应该推迟到系统测试之后。,自动化测试，验证，网络安全，嵌入式系统，物联网，网络，经验软件工程，引信,,,
3NHWYKIH,2023,https://doi.org/10.1109/ASE56229.2023.00190,ASE 2023,Government Mobile Apps: Analysing Citizen Feedback via App Reviews,"Governments worldwide are increasingly embracing digital transformation initiatives to enhance service delivery, engage citizens, and achieve better outcomes. However, obtaining continuous feedback on these initiatives poses a substantial challenge. This paper investigates the feasibility of leveraging mobile app reviews as a valuable source of citizen feedback on government digital services. We analyse 100,146 app reviews from 129 government mobile apps in Australia and identify several functional and usability issues. These include issues such as app instability, complexity, integration problems, navigation difficulties, inaccuracies, and challenges with ID verification and authentication processes. Furthermore, we uncover several factors that influence user satisfaction, including accuracy and reliability, convenience, dependability, user-centric design, and overall user-friendliness. These findings demonstrate a strong correlation between user feedback and the government's digital transformation strategy, underscoring the viability of mobile app reviews as a cost-effective avenue for collecting citizen feedback.","digital transformation,mobile apps,app reviews,user feedback",政府移动应用程序：通过应用程序评论分析公民反馈,世界各国政府越来越多地接受数字化转型举措，以加强服务提供，让公民参与进来，并取得更好的成果。然而，获得对这些举措的持续反馈是一项重大挑战。本文研究了利用移动应用程序评论作为公民对政府数字服务反馈的宝贵来源的可行性。我们分析了来自澳大利亚129个政府移动应用程序的100146条应用程序评论，并确定了几个功能和可用性问题。这些问题包括应用程序不稳定、复杂性、集成问题、导航困难、不准确以及身份验证和身份验证过程中的挑战。此外，我们还揭示了影响用户满意度的几个因素，包括准确性和可靠性、便利性、可靠性、以用户为中心的设计和整体用户友好性。这些发现表明，用户反馈与政府的数字化转型战略之间存在着强烈的相关性，突显了移动应用评论作为收集公民反馈的一种具有成本效益的途径的可行性。,数字化转型，移动应用，应用评论，用户反馈,,,
